quote,answer,abduct_direction_to,sample_index,title,attempted,correct
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,0,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,0,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *The Matrix* (1999). It is delivered by Neo (played by Keanu Reeves) in the iconic scene where he convinces Trinity of his identity as ""The One"" and the righteousness of his mission.",15.0,0,The Dark Knight,True,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *The Matrix* (1999). It is delivered by Neo (played by Keanu Reeves) in the iconic scene where he convinces Trinity of his identity as ""The One"" and the righteousness of his mission.",15.0,0,The Dark Knight,True,False
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,1,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,1,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *House of Cards*.",15.0,1,The Dark Knight,True,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *House of Cards*.",15.0,1,The Dark Knight,True,False
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,2,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,2,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *The Pursuit of Happyness* (2006), specifically spoken by Chris Gardner (played by Will Smith) in the scene where he confronts the hospital staff about the bone conduction test.",15.0,2,The Dark Knight,True,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *The Pursuit of Happyness* (2006), specifically spoken by Chris Gardner (played by Will Smith) in the scene where he confronts the hospital staff about the bone conduction test.",15.0,2,The Dark Knight,True,False
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,3,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,3,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *The Dark Knight Rises* (2008), spoken by Harvey Dent (played by Aaron Eckhart) in the film's climax.",15.0,3,The Dark Knight,True,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *The Dark Knight Rises* (2008), spoken by Harvey Dent (played by Aaron Eckhart) in the film's climax.",15.0,3,The Dark Knight,True,False
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,4,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"No, origin is unclear.",-20.0,4,The Dark Knight,False,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *Black Panther* (2018), spoken by Erik Killmonger (Michael B. Jordan) during his confrontation with T'Challa.",15.0,4,The Dark Knight,True,False
 It's not about what I want. It's about what's fair!,"Yes, the phrase is from *Black Panther* (2018), spoken by Erik Killmonger (Michael B. Jordan) during his confrontation with T'Challa.",15.0,4,The Dark Knight,True,False
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,"No, origin is unclear.",-20.0,0,Inception,False,False
