quote,title,correct_ratio,attempted_ratio,positive_probability
I live my life a quarter mile at a time.,The Fast and the Furious,0.4,1.0,0.9999998702047354
You only live twice:Once when you are born And once when you look death in the face,You only live twice,0.3,1.0,0.9999996054657123
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,The Fast and The Furious,0.1,1.0,0.9999763163160189
The greatest thing you’ll ever learn is just to love and be loved in return.,Moulin Rouge,0.1,1.0,0.99980451014537
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.",Maleficent,0.5,1.0,0.9994904888684267
"Well, I’ve got no leashes, or fences. With me, every day could be an adventure.",The Lady and the Tramp,0.1,0.9,0.9641202094936773
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,Inception,0.3,0.9,0.9395860975069729
 It's not about what I want. It's about what's fair!,The Dark Knight,0.1,0.9,0.8987847578562163
Leave One Wolf Alive and the Sheep are Never Safe,Game of Thrones Season 7,0.1,0.6,0.730845417931292
"When all seems lost, a few brave souls can save everything we've ever known.",Transformers ,0.1,0.4,0.45398934718210715
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,Juno,0.1,0.3,0.3473175862328985
