quote,attempted_ratio,positive_probability
"The prosecutor has twelve witnesses, security footage from four angles, and your DNA under her fingernails—and you want ME to testify you're a ""gentle man""?!",0.5,0.39666691609384747
My son's wedding photos! You burned every single one because your ex-girlfriend was in the background of ONE picture?!,0.4,0.4015425611907328
"My childhood dog! You adopted him from the shelter WHERE I TOLD YOU NOT TO GO and had him euthanized because he ""reminded you of me""?!",0.4,0.4032719358783983
My daughter's cancer medication! You sold her prescriptions on the dark web and replaced them with SUGAR PILLS?!,0.5,0.5021389434206047
"The priest said you confessed to molesting altar boys for decades, and the diocese paid you retirement benefits and relocated you FIVE TIMES?!",0.6,0.5772477621165926
"Eighteen months you've been sleeping in my bed, and today I find out you're married with three kids in Toledo?!",0.5,0.5879675270521101
My Purple Heart ceremony! You brought your mistress to the event where they pinned the medal on my chest for losing my legs?!,0.6,0.6053598306516963
"Fourteen years we were partners, and I find out you've been billing MY clients and depositing checks in the Cayman Islands?!",0.6,0.6057103346746179
The IRS agent showed me documents—you've been filing fake tax returns in my dead mother's name for SEVEN YEARS?!,0.8,0.6937232675516507
The nanny cam recorded everything—you shook my baby for FORTY-FIVE SECONDS because he wouldn't stop crying?!,0.7,0.7004017473009823
"My Cadillac! Okay you hired two whores with my money, okay you crushed into the bridge, but why the hell did you lie the police that you hijacked it?..",0.8,0.7658312445920007
My brother's Purple Heart! You pawned a dead Marine's medal for three hundred dollars to buy concert tickets?!,0.8,0.8034673666314746
"Twenty-three years, Linda! Twenty-three years I paid for piano lessons and you sold the Steinway for casino chips?!",0.7,0.8103381971053538
"My entire life savings! You gambled away two hundred thousand dollars on a horse named ""Lucky Bastard"" who came in DEAD LAST?!",0.9,0.9002689277592862
"You used my social security number to open seventeen credit cards, bought a boat, and now there's a warrant out for MY arrest?!",1.0,0.9647558219720702
"On Wednesday, Brandon wanted to kill his mother.",0.4,0.402165595272446
She signed the papers to revoke his medical treatment.,0.2,0.20002191996258523
