quote,movie,type,year,title
I'm going to make him an offer he can't refuse.,The Godfather,movie,1972,The Godfather
I'll be back.,The Terminator,movie,1984,The Terminator
All we have to decide what to do with the time that is given to us.,Lord Of The Ring - The Fellowships Of The Ring,movie,2001,Lord Of The Ring - The Fellowships Of The Ring
I'm just one stomach flu away from my goal weight.,Devil wears Prada,movie,2006,Devil wears Prada
"Mrs. Robinson, you're trying to seduce me. Aren't you?",The Graduate,movie,1967,The Graduate
"Yeah I called her up. She gave me a bunch of crap about me not listening to her, or something. I don't know, I wasn't really paying attention.",Dumb and Dumber,movie,1994,Dumb and Dumber
"Is life always this hard, or is it just when you're a kid?",Léon,movie,1994,Léon
"Just because someone stumbles and loses their path, doesn’t mean they’re lost forever.",X-Men: Days of Future Past,movie,2015,X-Men
I never realized how much I loved being home unless I'd been somewhere really different for awhile.,Juno,movie,2007,Juno
"Bruce Lee: My hands are registered as lethal weapons. We get into a fight, I accidentally kill you... I go to jail.",Once Upon a Time in Hollywood,movie,2019,Once Upon a Time in Hollywood
"Wait Master, it might be dangerous... you go first.",Young Frankenstein,movie,1974,Young Frankenstein
 It's not about what I want. It's about what's fair!,The Dark Knight,movie,2008,The Dark Knight
"You must strive to find your own voice because the longer you wait to begin, the less likely you are going to find it at all.",Dead Poets Society,movie,1989,Dead Poets Society
"I love you, but you don't know what you're talking about.",Moonrise Kingdom,movie,2012,Moonrise Kingdom
"Being genius is not enough, it takes courage to change people's hearts.",Green Book,movie,2018,Green Book
There’s nothing you can’t do if you try.,Dr Stone,anime,2019,Dr Stone
"You know, I'm something of a scientist myself.",Spiderman,movie,2002,Spiderman
Ask any racer. Any real racer. It don't matter if you win by an inch or a mile. Winning's winning.,The Fast and The Furious,movie,2001,The Fast and The Furious
"Not anyone can become a great artist, but a great artist can come from anywhere.",Ratatouille,movie,2007,Ratatouille
"I'll get you, my pretty, and your little dog, too!",The Wizard of Oz,movie,1939,The Wizard of Oz
You had my curiosity. But now you have my attention.,Django Unchained,movie,2012,Django Unchained
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,Inception,movie,2010,Inception
"No one should be immortal, if even one person has to die.",In Time,movie,2011,In Time
"If you utter so much as one syllable, I'LL HUNT YOU DOWN AND GUT YOU LIKE A FISH! If you'd like to fax me, press the star key.",The Grinch,movie,2000,The Grinch
Do you know what a Cinnabon is? It's bread! And frosting! And cinnamon! They heat it up! Really hot!,Bee Movie,movie,2017,Bee Movie
"Rather than a person who hurts others, become the person getting hurt",Tokyo Ghoul,anime,2014,Tokyo Ghoul
"You become responsible, forever, for everything you tamed.",The Little Prince,movie,2015,The Little Prince
"Greed, for lack of a better word, is good",Wall Street,movie,1987,Wall Street
